prompt,response,ground_truth,grade_string
"How many DLCs were released for Elder Scrolls V: Skyrim as of December 5, 2012?","How many DLCs were released for Elder Scrolls V: Skyrim as of December 5, 2012?

**Answer:** 

There were **10** DLCs released for Skyrim as of December 5, 2012. 


Let me know if you'd like to know more about the DLCs! 
",3,INCORRECT
What prize was El Anatsui awarded in 1998 in Osaka?,"What prize was El Anatsui awarded in 1998 in Osaka?

El Anatsui was awarded the **Golden Lion** prize in 1998 in Osaka. 
",Bronze Prize,INCORRECT
"In the crest of the Agnew clan, what animal is depicted ""issuant and regardant Proper""?","In the crest of the Agnew clan, what animal is depicted ""issuant and regardant Proper""?

The answer is a **lion**. 

Here's why:

* **Crest:** The crest is the most prominent part of a coat of arms, often featuring a symbol or design.
* **Issuant and Regiaing:** These terms describe the position of the animal in the crest. ""Issuant"" means it is ""coming out"" or ""projecting"" from the shield, while ""regiaing"" means it is ""looking"" or ""facing""",Eagle,INCORRECT
What were the names of the two presenters of the 16th edition of the Miss World pageant?,"What were the names of the two presenters of the 16th edition of the Miss World pageant?

The 16th edition of the Miss World pageant was held in 2007. 

The presenters were:

* **Maria Menounos**
* **David Beckham** 

Let me know if you have any other questions about the Miss World pageant! 
","Peter West, Michael Aspel",INCORRECT
In what year did conductor David Randolph graduate from City College of New York?,"In what year did conductor David Randolph graduate from City College of New York?

**Answer:** 1968 
",1936,INCORRECT
In what year did computer scientist Dana Angluin join the faculty at Yale University?,"In what year did computer scientist Dana Angluin join the faculty at Yale University?

**Answer:** 1988

**Explanation:**

Dana Angluin is a renowned computer scientist known for her work in computational complexity theory and logic. She joined the faculty at Yale University in 1988. 
",1979,INCORRECT
"Toronto mayors Sir Adam Wilson (Mayor from 1859-1861), John George Bowes (Mayor from 1861-1864), and Francis Henry Medcalf (Mayor from 1864-1867) were elected to office by which body?","Toronto mayors Sir Adam Wilson (Mayor from 1859-1861), John George Bowes (Mayor from 1861-1864), and Francis Henry Medcalf (Mayor from 1864-1867) were elected to office by which body?

The answer is **the Municipal Council of Toronto**. 

Here's why:

* **Municipal Councils** were the governing bodies of cities in the 19th century. They were responsible for local governance, including things like public works, sanitation, and law enforcement.
* **Mayors** were the heads of these councils. They were elected by the council members themselves. 

Therefore, the mayors of Toronto were elected by the Municipal Council of Toronto. 
",The public,INCORRECT
At what zoo did August Scherl demonstrate his gyro-monorail to the public?,"At what zoo did August Scherl demonstrate his gyro-monorail to the public?

The answer is **the Bronx Zoo in New York City**. 

August Scherl was a German inventor who designed the gyro-monorail, a type of transportation system that uses gyroscopic principles to move. He demonstrated his invention at the Bronx Zoo in 1904. 
",Berlin Zoological Gardens,INCORRECT
Which city in Athens was Foivos Delivorias born in?,"Which city in Athens was Foivos Delivorias born in?

**Answer:**

The answer is **Athens**. 

Foivos Delivorias was born in Athens, Greece. 
","Kallithea, Athens",INCORRECT
"In the British drama series Happy Valley, in which season and episode is Kirsten McAskill murdered by Royce?","In the British drama series Happy Valley, in which season and episode is Kirsten McAskill murdered by Royce?

Kirsten McAskill is murdered by Royce in **Season 3, Episode 6**. 
",Season 1 episode 3,INCORRECT
In which year did Maharaj Kishan Bhan (an Indian pediatrician and clinical scientist) receive the Padma Bhushan for civil services?,"In which year did Maharaj Kishan Bhan (an Indian pediatrician and clinical scientist) receive the Padma Bhushan for civil services?

Maharaj Kishan Bhan received the Padma Bhushan for **services to medicine**, not civil services. 

He received the award in **2009**. 
",2013,INCORRECT
"On what day, month, and year was Vladas Mironas, the 14th Prime Minister of Lithuania, born?","On what day, month, and year was Vladas Mironas, the 14th Prime Minister of Lithuania, born?

**Answer:**

Vladas Mironas was born on **19th of June, 1921**. 
",22 June 1880.,INCORRECT
In which episode and season of Rick and Morty is Jerry floating around for 10 hours? Give me the number and title.,"In which episode and season of Rick and Morty is Jerry floating around for 10 hours? Give me the number and title.

**Answer:**

* **Episode:** ""Ricklantis Mixup""
* **Season:** 4 


Let me know if you have any other Rick and Morty trivia questions! 
","Episode 5, ""Rattlestar Ricklactica""",INCORRECT
Who received the Farrer Medal in 2014?,"Who received the Farrer Medal in 2014?

The Farrer Medal is awarded annually to the best performing player in the Australian Football League (AFL). 

**Answer:** 
* **Gary Ablett** 
",Dr. Elizabeth Dennis,INCORRECT
What is the name of Jupiter’s third-largest moon?,"What is the name of Jupiter’s third-largest moon?

The answer is **Europa**. 

Here's why:

* **Jupiter's Moons:** Jupiter has a large number of moons, with over 90 confirmed.
* **Europa's Significance:** Europa is a particularly interesting moon because it's thought to have a subsurface ocean of liquid water, making it a prime candidate for the search for extraterrestrial life. 
",Io,INCORRECT
On what date did President Kagame receive an honorary degree in Ethiopia?,"On what date did President Kagame receive an honorary degree in Ethiopia?

President Paul Kagame of Rwanda received an honorary doctorate degree from Addis Ababa University in Ethiopia on **August 25, 2023**. 
",2-Jul-16,INCORRECT
"What year was the municipality of Boyacá, Boyacá, Colombia, founded?","What year was the municipality of Boyacá, Boyacá, Colombia, founded?

The municipality of Boyacá, Boyacá, Colombia, was founded in **1540**. 
",1537,INCORRECT
"On what day, month, and year did Randy Johnston (model) die?","On what day, month, and year did Randy Johnston (model) die?

**Answer:**

Randy Johnston, the model, died on **August 28, 2023**. 
",11-Oct-08,INCORRECT
"On what day, month, and year did the 2nd ASEM Transport Ministers' Meeting begin?","On what day, month, and year did the 2nd ASEM Transport Ministers' Meeting begin?

The 2nd ASEM Transport Ministers' Meeting began on **20th May 2009**. 
",24-Oct-11,INCORRECT
What is the name of the sole survivor of the Saha Airlines 2019 Boeing 707 crash?,"What is the name of the sole survivor of the Saha Airlines 2019 Boeing 707 crash?

The sole survivor of the Saha Airlines 2019 Boeing 707 crash was **none**. 

There were **no survivors** in the crash. 
",Farshad Mahdavinejad,INCORRECT
How many maxi challenges did Sharon Needles win in Season 4 of RPDR?,"How many maxi challenges did Sharon Needles win in Season 4 of RPDR?

Sharon Needles won **two** maxi challenges in Season 4 of RuPaul's Drag Race. 
",4,INCORRECT
"On what day, month, and year was the first unplanned flight of the General Dynamics F-16 Fighting Falcon?","On what day, month, and year was the first unplanned flight of the General Dynamics F-16 Fighting Falcon?

**A.**  October 1974
**B.**  June 1975
**C.**  August 1976
**D.**  March 1977

**Correct Answer:** **B.** June 1975

**Explanation:**

The first unplanned flight of the General Dynamics F-16 Fighting Falcon occurred on June 1975. 
",20-Jan-74,INCORRECT
"On what day, month, and year was Cléo Hamon, a French pair skater, born?","On what day, month, and year was Cléo Hamon, a French pair skater, born?

**Answer:**

Cléo Hamon was born on **19th of June, 1988**. 
",25-Nov-01,INCORRECT
"What type of eclipse occurred on August 28, 1802, at 51.3°N, 105.7°E?","What type of eclipse occurred on August 28, 1802, at 51.3°N, 105.7°E?

A. Solar Eclipse
B. Lunar Eclipse
C. Annular Eclipse
D. Total Eclipse

**Answer:** A. Solar Eclipse

**Explanation:**

* **Solar Eclipse:**  A solar eclipse occurs when the Moon passes between the Sun and Earth, casting a shadow on Earth. 
* **Lunar Eclipse:** A lunar eclipse occurs when the Earth passes between the Sun and Moon, casting a shadow on the Moon.
* **Annular Eclipse:** An annular eclipse occurs when",Annular solar eclipse,INCORRECT
Which TV station did Belva Davis make her debut on?,"Which TV station did Belva Davis make her debut on?

**Answer:** WTVJ in Miami, Florida

**Explanation:**

Belva Davis is a renowned American journalist, known for her work in television and radio. She made her debut on WTVJ in Miami, Florida, in 1968. 
",KTVU,INCORRECT
"What day, month, and year was Sergio Garavini, an Italian politician, writer, and trade unionist, born?","What day, month, and year was Sergio Garavini, an Italian politician, writer, and trade unionist, born?

**Answer:**

Sergio Garavini was born on **19th of June, 1930**. 
",18-May-26,INCORRECT
"What day, month, and year did Emperor Xizong of Jin become the emperor of the Jin dynasty?","What day, month, and year did Emperor Xizong of Jin become the emperor of the Jin dynasty?

The correct answer is:

* **Day:**  The exact day is not recorded.
* **Month:**  The exact month is not recorded.
* **Year:**  **7th year of the reign of Emperor Taizong of Tang** (649 AD)

**Explanation:**

Emperor Xizong of Jin was not the first emperor of the Jin dynasty. He was the **second emperor** of the Jin dynasty. The first emperor was Emperor Taizong","10 February, 1135",INCORRECT
"On what date (day/month/year) was Henry Charles Howard, 13th Duke of Norfolk, elected to the House of Commons for Horsham?","On what date (day/month/year) was Henry Charles Howard, 13th Duke of Norfolk, elected to the House of Commons for Horsham?

This question is based on a historical fact. 

**Answer:**

Henry Charles Howard, 13th Duke of Norfolk, was elected to the House of Commons for Horsham on **17th July 1906**. 
","May 4, 1829",INCORRECT
"In which year did the Royal Society of Arts launch the Adelphi Charter, aimed at creating an international policy statement to frame how governments should make balanced intellectual property law?","In which year did the Royal Society of Arts launch the Adelphi Charter, aimed at creating an international policy statement to frame how governments should make balanced intellectual property law?

**Answer:** 2001

**Explanation:**

The Adelphi Charter, a landmark document in intellectual property law, was launched by the Royal Society of Arts in 2001. It aimed to establish a framework for balanced intellectual property law that would benefit both creators and users. 
",2005,INCORRECT
What prize did Jun Takahashi win in 1997?,"What prize did Jun Takahashi win in 1997?

The answer is **The ""Designer of the Year"" award from the Japanese fashion magazine ""Vogue"".**

This award was given to Jun Takahashi in 1997 for his innovative and experimental designs. 
",The New Face Prize,INCORRECT
"In which Community episode is Evil Abed's first appearance? Please give the season, episode number, and title.","In which Community episode is Evil Abed's first appearance? Please give the season, episode number, and title.

Evil Abed is a character who appears in the show Community, but he is not a regular character. He is a recurring character who is introduced in the season 3 episode ""Cooperative Calligraphy."" 

**Please note:** Evil Abed is a fictional character and does not exist in real life. 
","Season 3 Episode 4 ""Remedial Chaos Theory""",INCORRECT
"For how many episodes did Gabrielle Fitzpatrick star in ""Roar""?","For how many episodes did Gabrielle Fitzpatrick star in ""Roar""?

Gabrielle Fitzpatrick starred in ""Roar"" for **10 episodes**. 
",1,INCORRECT
During which years did William Butts Ittner serve as the president of the Architectural League of America?,"During which years did William Butts Ittner serve as the president of the Architectural League of America?

William Butts Ittner served as the president of the Architectural League of America from **1929 to 1931**. 
",1903 to 1904,INCORRECT
In which year was *Racosperma drummondii* transferred back to the genus *Acacia*?,"In which year was *Racosperma drummondii* transferred back to the genus *Acacia*?

(A) 1990
(B) 1995
(C) 2000
(D) 2005

The correct answer is **(D) 2005**.

Here's why:

* *Racosperma drummondii* was originally placed in the genus *Acacia* but was later reclassified as a separate genus, *Racosperma*. 
* In 2005",2006,INCORRECT
What was the name of the minor planet discovered by the Soviet astronomer in the name of Pyotr Kapitsa in 1982?,"What was the name of the minor planet discovered by the Soviet astronomer in the name of Pyotr Kapitsa in 1982?

Here's the answer:

**1982-101** 

Let me know if you'd like to know more about Pyotr Kapitsa or minor planets! 
",3437 Kapitsa,INCORRECT
Who was awarded the Rumelhart Prize in 2011?,"Who was awarded the Rumelhart Prize in 2011?

The Rumelhart Prize is awarded annually by the **Association for Computing Machinery (ACM)**. 

In 2011, the prize was awarded to **Geoffrey Hinton**. 
",Judea Pearl,INCORRECT
"Which peninsular plateau of India extends 900 km, with many peaks rising above 1,000 m?","Which peninsular plateau of India extends 900 km, with many peaks rising above 1,000 m?

The answer is **The Western Ghats**. 

Here's why:

* **Western Ghats:** This mountain range is a significant part of the Indian peninsula, known for its diverse flora and fauna. It's famous for its high peaks, including the highest point in the Western Ghats, Anamudi (2,695 m).
* **Peninsular Plateau:** The Western Ghats are a prominent example of a peninsular plateau, a large, elevated landmass",Satpura Range,INCORRECT
In which year did Homa Shaibany (an Iranian surgeon) receive a scholarship to study medicine at London University?,"In which year did Homa Shaibany (an Iranian surgeon) receive a scholarship to study medicine at London University?

**Answer:** 1970s 

**Explanation:**

While specific details about Homa Shaibany's scholarship year are not readily available, it is widely known that she received a scholarship to study medicine at London University in the 1970s. 
",1930,INCORRECT
"In the 2009 US Billboard 200 year-end chart, what position did Miranda Lambert's album ""Revolution"" place?","In the 2009 US Billboard 200 year-end chart, what position did Miranda Lambert's album ""Revolution"" place?

The answer is **#1**. 
",170th,INCORRECT
"On which day, month, and year did the Bell UH-1H Iroquois helicopter have its first flight?","On which day, month, and year did the Bell UH-1H Iroquois helicopter have its first flight?

**Answer:**

The Bell UH-1H Iroquois helicopter had its first flight on **May 1, 1961**. 
",20-Oct-56,INCORRECT
"In TWD Season 11, Episode 10, we learn that Connie got whose uncle kicked out of Congress before the apocalypse?","In TWD Season 11, Episode 10, we learn that Connie got whose uncle kicked out of Congress before the apocalypse?

This is a bit of a trick question! 

Connie's uncle was kicked out of Congress **before the apocalypse** happened. 

Let me know if you'd like to discuss any other TWD trivia! 
",Pamela Milton's uncle,INCORRECT
"Who sketched the ""Taddei Tondo"" following its arrival at the Royal Academy and published a letter in the Athenaeum of 3 July 1830 praising how it was lit?","Who sketched the ""Taddei Tondo"" following its arrival at the Royal Academy and published a letter in the Athenaeum of 3 July 1830 praising how it was lit?

This is a question about the history of art and the work of a specific artist. 

**Answer:**

The artist who sketched the ""Taddei Tondo"" following its arrival at the Royal Academy and published a letter in the Athenaeum of 3 July 1830 praising how it was lit was **John Ruskin**. 
",John Constable,INCORRECT
What was the name of the first elephant born in Valencia Bioparc?,"What was the name of the first elephant born in Valencia Bioparc?

The first elephant born at Valencia Bioparc was named **""Amani""**. 
",Makena,INCORRECT
"What year was the municipality of Carolina del Príncipe, Antioquia, Colombia, founded?","What year was the municipality of Carolina del Príncipe, Antioquia, Colombia, founded?

The municipality of Carolina del Príncipe, Antioquia, Colombia, was founded in **1840**. 
",1787,INCORRECT
Who did the musical composition for the play Helen as presented in the 2022 Athens Epidaurus Festival?,"Who did the musical composition for the play Helen as presented in the 2022 Athens Epidaurus Festival?

The musical composition for the play ""Helen"" presented at the 2022 Athens Epidaurus Festival was done by **Dimitris Papadimitriou**. 
",Angelos Triantafyllou,INCORRECT
"On what day, month, and year did Frank Schreider, an American explorer, die?","On what day, month, and year did Frank Schreider, an American explorer, die?

**Answer:**

Frank Schreider died on **August 28, 1938**. 
",21-Jan-94,INCORRECT
"In which year was the town of Babanango, in the KwaZulu-Natal province of South Africa, founded?","In which year was the town of Babanango, in the KwaZulu-Natal province of South Africa, founded?

**A.** 1880
**B.** 1900
**C.** 1920
**D.** 1940

**Answer:** **C.** 1920

**Explanation:**

Babanango, a small town in KwaZulu-Natal, was founded in 1920. It is known for its rich history and cultural significance. 
",1904,INCORRECT
In what year was the Miami-Dade County C-Pass replaced with the SunPass?,"In what year was the Miami-Dade County C-Pass replaced with the SunPass?

The Miami-Dade County C-Pass was replaced with the SunPass in **2009**. 
",2014,INCORRECT
In what year was Professor Ascher Herman Shapiro awarded the Benjamin Garver Lamme Award by the American Society for Engineering Education?,"In what year was Professor Ascher Herman Shapiro awarded the Benjamin Garver Lamme Award by the American Society for Engineering Education?

**Answer:** 1970

**Explanation:**

Professor Ascher Herman Shapiro was a renowned professor of engineering education and a pioneer in the field. He received the Benjamin Garver Lamme Award from the American Society for Engineering Education in 1970. 
",1977,INCORRECT
Julie Mehretu was awarded the Barnett and Annalee Newman Award for the first time in what year?,"Julie Mehretu was awarded the Barnett and Annalee Newman Award for the first time in what year?

**Answer:** 2019 
",2013,INCORRECT
Name the mission director of the Rohini Satellite 1 (RS-1) satellite launch in 1980.,"Name the mission director of the Rohini Satellite 1 (RS-1) satellite launch in 1980.

The mission director of the Rohini Satellite 1 (RS-1) satellite launch in 1980 was **Dr. S.K. Bhatnagar**. 
",Dr. Kalam,INCORRECT
"As of the 2020 Census, what was the population of Wheatland, Iowa?","As of the 2020 Census, what was the population of Wheatland, Iowa?

The population of Wheatland, Iowa, as of the 2020 Census was **1,047**. 
",775,INCORRECT
In which town was the South African 80s child pop star Ricardo Groenewald born?,"In which town was the South African 80s child pop star Ricardo Groenewald born?

**A.** Cape Town
**B.** Johannesburg
**C.** Pretoria
**D.** Durban

**Answer:** A. Cape Town

**Explanation:**

Ricardo Groenewald, the South African pop star of the 1980s, was born in Cape Town. 
",Humansdorp,INCORRECT
In which year was Srinagar declared a UNESCO Creative City?,"In which year was Srinagar declared a UNESCO Creative City?

**Answer:** 2017

**Explanation:**

Srinagar, the summer capital of Jammu and Kashmir, was declared a UNESCO Creative City in **2017** under the Creative Cities Network. This recognition highlights the city's rich cultural heritage, vibrant arts scene, and commitment to creative industries. 
",2021,INCORRECT
"Which bridge in Srinagar, Kashmir, is also known as Alamgir Bridge?","Which bridge in Srinagar, Kashmir, is also known as Alamgir Bridge?

The answer is **The  Alamgir Bridge**. 

Here's why:

* **Alamgir Bridge:** This bridge is a prominent landmark in Srinagar, Kashmir. It's known for its beautiful architecture and scenic location. 
* **The Bridge:**  The name ""The Bridge"" is a common way to refer to bridges in general, but it doesn't specifically identify the Alamgir Bridge.


Let me know if you have any other questions about Srinagar or Kashmir!",Budshah Bridge,INCORRECT
"What university was awarded the ""Visitor's Award"" for ""Best University"" in 2017 by the President of India?","What university was awarded the ""Visitor's Award"" for ""Best University"" in 2017 by the President of India?

**Answer:**

The university awarded the ""Visitor's Award"" for ""Best University"" in 2017 by the President of India was **Indian Institute of Technology (IIT) Bombay**. 


Let me know if you have any other questions! 
",Jawaharlal Nehru University,INCORRECT
In which two years did Rugged Lark win the AQHA World Show Superhorse title?,"In which two years did Rugged Lark win the AQHA World Show Superhorse title?

The answer is **1998 and 2000**. 
",1985 and 1987,INCORRECT
In which city was the first International Association for Engineering Geology and the Environment congress held?,"In which city was the first International Association for Engineering Geology and the Environment congress held?

**A.** London
**B.** Paris
**C.** Rome
**D.** New York

**Answer:** **A.** London

**Explanation:**

The first International Association for Engineering Geology and the Environment (IAEG) congress was held in London in 1956. 
",Paris,INCORRECT
"According to the 2021 World Bank data, which country has the largest renewable freshwater resources per capita?","According to the 2021 World Bank data, which country has the largest renewable freshwater resources per capita?

The answer is **India**. 

Here's why:

* **Renewable freshwater resources** are those that can be replenished naturally, like rainfall and groundwater.
* **Per capita** means resources available per person.

India has a significant amount of renewable freshwater resources, and this data is reflected in the World Bank's report. 

It's important to note that while India has a large amount of renewable freshwater resources, it also faces challenges like water scarcity and pollution",Iceland,INCORRECT
"What year did Giulio Carlo Argan, the Italian art historian, publish a manual of art for high schools?","What year did Giulio Carlo Argan, the Italian art historian, publish a manual of art for high schools?

Giulio Carlo Argan published his manual of art for high schools in **1968**. 
",1938,INCORRECT
Which year did Herbert Gintis receive his master's degree?,"Which year did Herbert Gintis receive his master's degree?

Herbert Gintis received his master's degree in **1961**. 
",1962,INCORRECT
"In Episode 7, Season 2 of the American version of ""The Circle,"" who leaves the players a message on how to play the game Glammequins?","In Episode 7, Season 2 of the American version of ""The Circle,"" who leaves the players a message on how to play the game Glammequins?

**Answer:**

The player who leaves a message on how to play the game Glammequins is **Joey**. 
",Jonathan Van Ness,INCORRECT
Which two instruments was John Cage's experimental piece *Two^5* written for?,"Which two instruments was John Cage's experimental piece *Two^5* written for?

**A.** Piano and Violin
**B.** Piano and Percussion
**C.** Violin and Cello
**D.** Piano and Voice

**Correct Answer:** **B.** Piano and Percussion

**Explanation:**

John Cage's *Two^5* is a groundbreaking piece that explores the concept of chance and indeterminacy in music. It was written for two pianos and percussion instruments. 

Here's why the other options are incorrect:

* **A.** Piano and Violin:",Tenor trombone and piano,INCORRECT
"As a teen, what job sparked Shonda Rhimes' interest in hospital environments?","As a teen, what job sparked Shonda Rhimes' interest in hospital environments?

**Answer:**  Shonda Rhimes' interest in hospital environments was sparked by her job as a **clerk at a hospital**. 
",hospital volunteer,INCORRECT
"How many balls did Dwayne Bravo play in the Indian Premier League 2019 final match between CSK and MI on May 12, 2019?","How many balls did Dwayne Bravo play in the Indian Premier League 2019 final match between CSK and MI on May 12, 2019?

Dwayne Bravo played **1** ball in the final match of IPL 2019. 
",15,INCORRECT
"Marcia Bartusiak traces the term ""black hole"" to which physicist (first name, middle initial, and surname), who reportedly compared the phenomenon in the early 1960s to the Black Hole of Calcutta, a notorious prison where people entered but never left alive?","Marcia Bartusiak traces the term ""black hole"" to which physicist (first name, middle initial, and surname), who reportedly compared the phenomenon in the early 1960s to the Black Hole of Calcutta, a notorious prison where people entered but never left alive?

This is a tricky question! Here's why and how to approach it:

* **The Connection:** The question is designed to make you think about the history of the term ""black hole"" and its connection to a specific physicist. 
* **The Trick:** The connection is not straightforward. The physicist is not directly associated with the ""Black Hole of Calcutta"" in any way. 

**The Answer:**

The physicist who coined the term ""black hole"" is **John",Robert H. Dicke.,INCORRECT
Which one of the 1990 Fly Girls from the series In Living Color stayed for five seasons?,"Which one of the 1990 Fly Girls from the series In Living Color stayed for five seasons?

The answer is **Kim Fields**. 

Here's why:

* **The Fly Girls** were a recurring sketch comedy group on In Living Color.
* **Kim Fields** was a member of the Fly Girls for the entire run of the show, from 1990 to 1994. 
* She was known for her comedic timing and her signature ""fly girl"" dance moves.


Let me know if you have any other In Living Color trivia",Deidre Lang,INCORRECT
"What is the title of Series 1, Episode 17 of *Space: 1999*?","What is the title of Series 1, Episode 17 of *Space: 1999*?

The answer is **""The Last Man""**. 
","""The Last Sunset""",INCORRECT
In which year was Akhnoor Fort (in Jammu City of Jammu and Kashmir) declared a national monument?,"In which year was Akhnoor Fort (in Jammu City of Jammu and Kashmir) declared a national monument?

**Answer:** 1986

**Explanation:**

Akhnoor Fort, located in Jammu City, Jammu and Kashmir, was declared a national monument in **1986**. 
",1982,INCORRECT
Which year was the non-profit organization Prayas Nepal established?,"Which year was the non-profit organization Prayas Nepal established?

**Answer:** 2004

**Explanation:**

Prayas Nepal is a non-profit organization that works to empower marginalized communities in Nepal. It was established in 2004. 
",2003,INCORRECT
"In what month and year did the Merce Cunningham Dance Company launch its ""Legacy Tour""?","In what month and year did the Merce Cunningham Dance Company launch its ""Legacy Tour""?

The Merce Cunningham Dance Company launched its ""Legacy Tour"" in **September 2018**. 
",10-Feb,INCORRECT
Who published the first scientific description of the Asiatic lion in 1826?,"Who published the first scientific description of the Asiatic lion in 1826?

**Answer:**

* **John Edward Gray** 

**Explanation:**

John Edward Gray, a British naturalist, published the first scientific description of the Asiatic lion in 1826. He was a prominent figure in the study of zoology and contributed significantly to the understanding of animal taxonomy. 
",Johann N. Meyer,INCORRECT
In what year did Peter Norvig and Stuart Russell win the AAAI/EAAI Outstanding Educator Award?,"In what year did Peter Norvig and Stuart Russell win the AAAI/EAAI Outstanding Educator Award?

The answer is **2019**. 

Here's why:

* **Peter Norvig** is a renowned AI researcher and former Director of Research at Google.
* **Stuart Russell** is a prominent AI researcher and author of the influential textbook ""Artificial Intelligence: A Modern Approach.""
* Both are highly respected figures in the field of artificial intelligence.
* The AAAI/EAAI Outstanding Educator Award recognizes individuals who have made significant contributions to the field of artificial",2016,INCORRECT
"In 2015, in what exhibition was Henry Ossawa Tanner's work included?","In 2015, in what exhibition was Henry Ossawa Tanner's work included?

**Answer:**

The 1913 exhibition at the **National Academy of Design** in New York City. 

**Explanation:**

While Henry Ossawa Tanner was a prominent African American painter, his work was not included in the 2015 exhibition. 

It's important to note that:

* **Tanner's work was highly celebrated in his lifetime.** He was a member of the National Academy of Design and exhibited his work in prestigious venues.
","We Speak: Black Artists in Philadelphia, 1920s-1970s",INCORRECT
What coach was Mike Young an assistant to at Radford University?,"What coach was Mike Young an assistant to at Radford University?

**Answer:**

Mike Young was an assistant coach to **Jim Valvano** at Radford University. 
",Oliver Purnell,INCORRECT
Where was Juvénal Habyarimana's body identified within?,"Where was Juvénal Habyarimana's body identified within?

The answer is **Rwanda**.

Here's why:

* **The Rwandan Genocide:** Juvénal Habyarimana, the president of Rwanda, was killed in a plane crash on April 6, 1994. This event is widely considered to be the catalyst for the Rwandan Genocide, which saw the systematic killing of hundreds of thousands of Tutsis and moderate Hutus.
* **Identification:** Habyarimana's body was identified in Rwanda",In a flowerbed,INCORRECT
"What language is represented in Figure 4 of the paper ""Identifying Semantic Role Clusters and Alignment Types via Microrole Coexpression Tendencies""?","What language is represented in Figure 4 of the paper ""Identifying Semantic Role Clusters and Alignment Types via Microrole Coexpression Tendencies""?

Figure 4 shows a heatmap of the coexpression tendencies of microroles. The language represented in Figure 4 is:

a) English
b) Chinese
c) Japanese
d) Korean

**Answer:**

The answer is **(a) English**. 

**Explanation:**

The paper ""Identifying Semantic Role Clusters and Alignment Types via Microrole Coexpression Tendencies"" is a research paper in the field of natural language processing (NLP).  The paper focuses",Zenzontepec Chatino,INCORRECT
Which scientist received the American Chemical Society Award in Pure Chemistry in 1933?,"Which scientist received the American Chemical Society Award in Pure Chemistry in 1933?

The answer is **Linus Pauling**. 

Here's why:

* **Linus Pauling** was a renowned chemist and Nobel laureate known for his work on the nature of chemical bonds, molecular structure, and the chemical aspects of biological systems. 
* He received the American Chemical Society Award in Pure Chemistry in 1933, recognizing his significant contributions to the field.


Let me know if you have any other questions! 
",Frank Harold Spedding,INCORRECT
What is the title of the song (English version) for which Isadora Duncan composed the Varshavianka dance routine?,"What is the title of the song (English version) for which Isadora Duncan composed the Varshavianka dance routine?

The answer is: **""The Song of the Volga""**

Here's why:

* **Isadora Duncan** was a famous dancer and choreographer known for her free-flowing, natural movements.
* **Varshavianka** is a Russian folk dance.
* **""The Song of the Volga""** is a popular Russian folk song that Duncan used as inspiration for her dance routine. 

Let me know if you have any other questions! 
","""Whirlwinds of Danger""",INCORRECT
Which building in the Republic of Niger won the 1986 Aga Khan Award for Architecture?,"Which building in the Republic of Niger won the 1986 Aga Khan Award for Architecture?

The building that won the 1986 Aga Khan Award for Architecture in the Republic of Niger is the **National Museum of Niger**. 
",Yaama Mosque,INCORRECT
What is the full title of Zanele Muholi's first publication?,"What is the full title of Zanele Muholi's first publication?

The full title of Zanele Muholi's first publication is **""Faces and Voices of lesbians in South Africa""**. 
",Zanele Muholi: Only Half The Picture,INCORRECT
"Who was the father of the Russian stage actress and singer ""Baroness Olga Vadimovna von Root?""","Who was the father of the Russian stage actress and singer ""Baroness Olga Vadimovna von Root?""

The answer is **Baron von Root**. 

Here's why:

* **Baroness Olga Vadimovna von Root** was a famous Russian stage actress and singer.
* The name ""von Root"" is a German title, indicating a noble family background.
* **Baron von Root** was the father of the actress. 


Let me know if you have any other questions! 
",Baron Vadim Nikolayevich von Root,INCORRECT
"On which day, month, and year did the signing ceremony between the Colombian government and the ELN occur, leading to a six-month-long ceasefire between the two parties?","On which day, month, and year did the signing ceremony between the Colombian government and the ELN occur, leading to a six-month-long ceasefire between the two parties?

**Answer:**

The signing ceremony between the Colombian government and the ELN occurred on **February 2, 2023**. 
",9-Jun-23,INCORRECT
In what major painting exhibition did artist J.C. Leyendecker earn a spot in 1897?,"In what major painting exhibition did artist J.C. Leyendecker earn a spot in 1897?

The answer is the **""The Art of the American West""** exhibition. 

Here's why:

* **J.C. Leyendecker** was a prominent American illustrator known for his work in advertising and magazines. 
* **The Art of the American West** was a major exhibition held in 1897 at the Philadelphia Museum of Art. 
* Leyendecker's work, particularly his depictions of cowboys and Western life, was well-",The Salon Champs de Mars,INCORRECT
How many years was the attraction Horizons at EPCOT sponsored by General Electric?,"How many years was the attraction Horizons at EPCOT sponsored by General Electric?

Horizons was a popular attraction at EPCOT from 1982 to 1995. 

**Answer:** 13 years 
",10,INCORRECT
"How much money in US dollars did Howard Schultz donate to Barack Obama's campaign on October 24, 2008?","How much money in US dollars did Howard Schultz donate to Barack Obama's campaign on October 24, 2008?

This question is based on a real event, and the answer is:

**$1 million** 

Let me know if you'd like to know more about this or other historical events! 
","$2,300 ",INCORRECT
